รหัสสินค้า,ชื่อสินค้า,รหัสหน่วยนับ,ชื่อหน่วยนับ,ตัวตั้ง,ตัวหาร
10000087,เซี้ยมPVC 10mmx2m CT10 สีเทา,SEN,เส้น,1,1
10000090,เซี้ยมPVC 6mmx2m CT6 สีเทา,SEN,เส้น,1,1
10001343,"ดาวไลท์ฝัง 6"" ขาว กลม POWER MAX",ZWF,ชุด,1,1
10001877,บุ้งกี๋หวายพีวีซี ดำ NASH,BAI,ใบ,1,1
10002011,"ข้องอ90 PVC 8.5  4""   A+/THOR",EA,ชิ้น,1,1
10002888,เชือกไนล่อน 6มิล ขี้ม้า(มัด20ม.)NASH,D00,มัด,1,1
10002895,"สกรูเกลียวแฉกแบน #4x3/4"" NASH ก.1000",B,กล่อง,1,1
10002961,"น๊อตเหลี่ยมชุบ 5/8""X10"" POWER MAX (P2)",PAA,คู่,1,1
10003188,กรองแสง 60X2X10 ดำ NASH,PUN,ผืน,1,1
10003231,"ปลั๊กอุดเกลียวนอก PVC  3/4"" A+/THOR",EA,ชิ้น,1,1
10003235,"ปลั๊กอุดเกลียวนอก PVC 1/2"" A+/THOR",EA,ชิ้น,1,1
10003742,"ฟุตวาล์วเหล็กปั๊ม 3""",EA,ชิ้น,1,1
10003916,กิ๊บรัดท่อสายยาง 6หุน(#0X),EA,ชิ้น,1,1
10004143,"กิ๊บรัดท่อสายยาง 1""(#1)",EA,ชิ้น,1,1
10004493,"ข้องอเกลียวนอก PVC 13.5 1/2""   A+/THOR",EA,ชิ้น,1,1
10004519,"ข้องอเกลียวใน PVC 13.5 1/2""   A+/THOR",EA,ชิ้น,1,1
10004533,"ข้องอเกลียวใน PVC 13.5 3/4""   A+/THOR",EA,ชิ้น,1,1
10004701,กิ๊บรัดท่อสายยาง 11/2(#2),EA,ชิ้น,1,1
10004710,"กิ๊บรัดท่อสายยาง 2""(#3).",EA,ชิ้น,1,1
10004832,ฟรีฟอร์ม 16 SQMM,SEN,เส้น,1,1
10004871,"ข้อต่อเกลียวในทล. PVC 3/4"" A+/THOR",EA,ชิ้น,1,1
10004875,"ข้อต่อเกลียวในทล. PVC 1/2"" A+/THOR",EA,ชิ้น,1,1
10005383,"ข้อต่อสี่ทาง PVC 1/2"" THOR",EA,ชิ้น,1,1
10005456,"ข้องอเหล็ก 90 1"".",EA,ชิ้น,1,1
10005802,"ข้องอ45 PVC 8.5 3"" A+/THOR",EA,ชิ้น,1,1
10006355,"แปรงลวดกลม 3"" ทองแผง NASH",EA,ชิ้น,1,1
10006359,"แปรงลวดกลม 4"" NASH",EA,ชิ้น,1,1
10007198,"สกรูเกลียวแฉกแบน #6x3/4"" NASH ก.1000",B,กล่อง,1,1
10007199,"สกรูเกลียวแฉกแบน #7x5/8"" NASH ก.1000",B,กล่อง,1,1
10007517,"สกรูเกลียวแฉกแบน #8x1/2"" NASH ก.1000",B,กล่อง,1,1
10007585,"น๊อตเหลี่ยมชุบ 5/8""X12"" POWER MAX (P2)",PAA,คู่,1,1
10007823,ข้อต่อสายไฟ 6 มม.,SEN,เส้น,1,1
10007915,"สกรูเกลียวแฉกแบน #7x3/4"" NASH ก.1000",B,กล่อง,1,1
10008599,"สกรูเกลียวแฉกแบน #6x1"" NASH ก.1000",B,กล่อง,1,1
10009023,"ข้อต่อตรง PVC เหลือง 1/2"" Power max",EA,ชิ้น,1,1
10009027,"ข้อต่อตรง PVC เหลือง 3/4"" Power max",EA,ชิ้น,1,1
10009053,"ข้อต่อตรง PVC เหลือง 3/8"" Power max",EA,ชิ้น,1,1
10009889,"น๊อตเหลี่ยมชุบ 5/8""X7"" POWER MAX (P2)",PAA,คู่,1,1
10009897,"น๊อตเหลี่ยมชุบ 5/8""X8"" POWER MAX (P2)",PAA,คู่,1,1
10010253,"ข้องอเหล็ก 90 2"".",EA,ชิ้น,1,1
10010575,กิ๊บรัดท่อสายยาง 4หุน(#00),EA,ชิ้น,1,1
10010977,"สกรูเกลียวแฉกแบน #8x2 1/2"" NASH ก.250",B,กล่อง,1,1
10011080,"สกรูเกลียวแฉกแบน #4x1"" NASH ก.1000",B,กล่อง,1,1
10011092,เครื่องดับเพลิง 5ป.(1A2B) PHOENIX,MC,เครื่อง,1,1
10011335,"น๊อตเหลี่ยมชุบ 5/8""X9"" POWER MAX (P2)",PAA,คู่,1,1
10012344,ฟรีฟอร์ม 25 SQMM,EA,ชิ้น,1,1
10012353,ฟรีฟอร์ม 35 SQMM,SEN,เส้น,1,1
10012359,ฟรีฟอร์ม 50 SQMM,SEN,เส้น,1,1
10012821,เชือกไนล่อน 4มิล ขี้ม้า(มัด20ม.)NASH,D00,มัด,1,1
10012875,"สกรูเกลียวแฉกแบน #4x1/2"" NASH ก.1000",B,กล่อง,1,1
10012889,"ตะปูคอนกรีต 21/2""*8* 1 กก",B,กล่อง,1,1
10012943,กรองแสง 80X2X100 เขียว NASH,ROL,ม้วน,1,1
10012954,กรองแสง 60X2X100 ดำ NASH,ROL,ม้วน,1,1
10012966,กรองแสง 80X2X10 ดำ NASH,PUN,ผืน,1,1
10012977,กรองแสง 80X2X10 เขียว NASH,PUN,ผืน,1,1
10012988,กรองแสง 80X2X100 ดำ NASH,ROL,ม้วน,1,1
10012999,กรองแสง 60X2X100 เขียว NASH,ROL,ม้วน,1,1
10013008,กรองแสง 60X2X10 เขียว NASH,PUN,ผืน,1,1
10013939,จมูกบันไดPVC 38mmx2m เทาอ่อน,SEN,เส้น,1,1
10014179,เครื่องดับเพลิง 10ป. (4A5B) PHOENIX,MC,เครื่อง,1,1
10014603,"สกรูเกลียวแฉกแบน #6x1/2"" NASH ก.1000",B,กล่อง,1,1
10015086,"คลีนเอ้าท์ PVC 4""",EA,ชิ้น,1,1
10015539,จมูกบันไดPVC 38mmx2m ขาว,SEN,เส้น,1,1
10016203,"ข้อต่อตรงลด PVC 13.5 3""x2"" A+/THOR",EA,ชิ้น,1,1
10016212,"คลีนเอ้าท์ PVC 3""",EA,ชิ้น,1,1
10016224,"สกรูเกลียวแฉกแบน #7x1/2"" NASH ก.1000",B,กล่อง,1,1
10016227,"สกรูเกลียวแฉกแบน #8x5/8"" NASH ก.1000",B,กล่อง,1,1
10016781,เชือกไนล่อน 10มิล ขี้ม้า(มัด20ม.)NASH,D00,มัด,1,1
10016993,"สกรูเกลียวแฉกแบน #6x5/8"" NASH ก.1000",B,กล่อง,1,1
10017382,"ตะปูคอนกรีต 1""*12* 1 กก",B,กล่อง,1,1
10017397,"ตะปูคอนกรีต 1""* 9* 1 กก..",B,กล่อง,1,1
10017411,"ตะปูคอนกรีต 11/2""* 9* 1 กก",B,กล่อง,1,1
10017424,"ตะปูคอนกรีต 11/2""*12* 1 กก",B,กล่อง,1,1
10017439,"ตะปูคอนกรีต 2""*9* 1 กก",B,กล่อง,1,1
10017454,"ตะปูคอนกรีต 3""*7* 1 กก",B,กล่อง,1,1
10017483,"ตะปูคอนกรีต 4""*7* 1 กก",B,กล่อง,1,1
10017924,"ต่อตรง(ทล) 1/4""",EA,ชิ้น,1,1
10017929,"ต่อตรง(ทล)  3/8"".",EA,ชิ้น,1,1
10017935,"ต่อตรง(ทล)  5/16""",EA,ชิ้น,1,1
10018415,เครื่องดับเพลิง 2ป.1A1B PHOENIX,MC,เครื่อง,1,1
10018741,เกย์แก๊ส 58-LR  THOR,ZWF,ชุด,1,1
10019222,ผ้าฟาง 4 หลา x5 ม.NASH,PUN,ผืน,1,1
10019229,ผ้าแยงเขียว 1.2ม.X30Y NASH,ROL,ม้วน,1,1
10019336,"ข้อต่อตรงเหล็ก 3"".",EA,ชิ้น,1,1
10020439,"ข้อโค้ง PVC 90องศา เหลือง 3/8"" Power max",EA,ชิ้น,1,1
10020672,ตาข่ายถัก #2 #12 สูง 1.20 ม.*10ม..,ROL,ม้วน,1,1
10022189,"ข้อโค้ง PVC 90องศา เหลือง 3/4"" Power max",EA,ชิ้น,1,1
10022200,"ข้อโค้ง PVC 90องศา เหลือง 1/2"" Power max",EA,ชิ้น,1,1
10023774,ปืนฉีดน้ำเหล็ก TR2009 THOR,EA,ชิ้น,1,1
10024027,ผ้าใบ 1.80 ม.X 45หลา สีฟ้า NASH,ROL,ม้วน,1,1
10024033,ผ้าใบ 2 ม.X 4 ม.ขี้ม้า NASH,PUN,ผืน,1,1
10024040,ผ้าใบ 3 ม. X 4 ม. ขี้ม้า NASH,PUN,ผืน,1,1
10024067,ผ้าใบ 4 ม.X 5ม. ขี้ม้า NASH,PUN,ผืน,1,1
10024080,ผ้าฟาง 1.80 ม.* 40หลา ม้วน NASH,ROL,ม้วน,1,1
10024087,ผ้าฟาง 2 หลา x4 ม. NASH,PUN,ผืน,1,1
10024101,ผ้าฟาง 3 หลา x4 ม. NASH,PUN,ผืน,1,1
10024113,ผ้าแยงเขียว 90ชม.X15Y NASH,ROL,ม้วน,1,1
10024121,พลาสติกคลุมดินดำ-เงิน 1.00 X 400หลา,ROL,ม้วน,1,1
10024128,พลาสติกคลุมดินดำ-เงิน 1.20 X 400หลา,ROL,ม้วน,1,1
10024134,พลาสติกคลุมดินดำ-เงิน 80 X 400หลา,ROL,ม้วน,1,1
10024147,พลาสติกคลุมเห็ด 1.4ม.x47ม. หนา0.04 2.5กก,ROL,ม้วน,1,1
10024153,ผ้าแยงเขียว 1.5ม.X30Y NASH,ROL,ม้วน,1,1
10024160,ผ้าแยงเขียว 2.5ม.X30Y NASH,ROL,ม้วน,1,1
10024167,ผ้าแยงเขียว 3.6ม.X30Y NASH,ROL,ม้วน,1,1
10024174,ผ้าแยงเขียว 3ม.X30Y NASH,ROL,ม้วน,1,1
10025258,ตาข่ายถัก #2 #12 สูง 1.00 ม.*10ม.,ROL,ม้วน,1,1
10025637,"ก๊อกบอลแฟนซี ZINC 3/4"" แดง NASH/THOR",EA,ชิ้น,1,1
10025951,"ข้อต่อเกลียวใน PVC 13.5 1 1/2"" A+/THOR",EA,ชิ้น,1,1
10026313,"ข้องอเหล็ก 90 11/2"".",EA,ชิ้น,1,1
10026326,"ข้องอเหล็ก 90 3""",EA,ชิ้น,1,1
10026467,"ข้อต่อตรงเหล็ก 2"".",EA,ชิ้น,1,1
10027997,"สกรูเกลียวแฉกแบน #10x2 1/2"" NASH ก.250",B,กล่อง,1,1
10030418,"สกรูเกลียวแฉกแบน #12x1"" NASH ก.500",B,กล่อง,1,1
10032092,ปตมน.สวิงเดี่ยว 89x204 FINEXT ชา,ZWF,ชุด,1,1
10032096,ปตมน.2บาน 179x208 FINEXT ชา,ZWF,ชุด,1,1
10032803,ผ้ายางกันซึม ก.2ม X 0.10มม.10กก.ดำ,ROL,ม้วน,1,1
10033302,นตมน.เกล็ดซ้อน 70x45 FN ชา,ZWF,ชุด,1,1
10033305,นตมน.กระทุ้ง+มุ้ง 60x50 ALG.P ขาว,ZWF,ชุด,1,1
10033414,หมวกก่อสร้าง ขาว NASH,BAI,ใบ,1,1
10033420,หมวกก่อสร้าง น้ำเงิน NASH,BAI,ใบ,1,1
10033430,หมวกก่อสร้าง เหลือง NASH,BAI,ใบ,1,1
10035763,"แป็ปประปาสำเร็จ 1/2"" * 10 ซม.",EA,ชิ้น,1,1
10035766,"แป็ปประปาสำเร็จ 1/2"" * 15 ซม.",EA,ชิ้น,1,1
10035812,"แป็ปต่อสายยาง 1ทาง เหล็ก 1""",EA,ชิ้น,1,1
10035822,"แป็ปต่อสายยาง 1ทาง เหล็ก 2""",EA,ชิ้น,1,1
10035825,"แป็ปต่อสายยาง 1ทาง เหล็ก 3""",EA,ชิ้น,1,1
10035842,"แป็ปต่อสายยาง 2ทาง เหล็ก 1""",EA,ชิ้น,1,1
10036975,เกียง พีวีซี ฟ้า NASH,EA,ชิ้น,1,1
10037011,บุ้งกี๋ทึบพีวีซี ฟ้า NASH,BAI,ใบ,1,1
10037337,กะบะ พีวีซี ฟ้า NASH,EA,ชิ้น,1,1
10037690,หัวฉีดน้ำเหล็ก รุ่นDGT2007 THOR,EA,ชิ้น,1,1
10038548,สังกะสีเรียบ #  35  3*6 V,PL,แผ่น,1,1
10038556,สังกะสีเรียบ #  35 3*8 V,PL,แผ่น,1,1
10038749,"ประตูน้ำ ทล. 1/2"" แดง NASH/THOR",EA,ชิ้น,1,1
10038803,"ประตูน้ำ ทล. 1"" แดง NASH/THOR",EA,ชิ้น,1,1
10038877,"สามทาง PVC 8.5 1 1/2"" A+/THOR",EA,ชิ้น,1,1
10038912,"สามทาง PVC 8.5 3"" A+/THOR",EA,ชิ้น,1,1
10039182,"นิเปิ้ลเหล็ก 1 1/2"".",EA,ชิ้น,1,1
10039199,"นิเปิ้ลเหล็ก 1""",EA,ชิ้น,1,1
10039225,"นิเปิ้ลเหล็ก 2""",EA,ชิ้น,1,1
10039234,"นิเปิ้ลเหล็ก 3"".",EA,ชิ้น,1,1
10039308,"สามทาง เหล็ก 2""",EA,ชิ้น,1,1
10039317,"สามทาง เหล็ก 3""",EA,ชิ้น,1,1
10039504,"สามทางเกลียวใน PVC 13.5 1/2"" A+/THOR",EA,ชิ้น,1,1
10042006,สายเชื่อม 25SQ #400 NASH 20 ม.ดำ,D00,มัด,1,1
10042090,สายเชื่อม 35SQ #800 NASH 20ม.ดำ,ROL,ม้วน,1,1
10046851,อปก-สวมก๊อกน้ำDGT2103 THOR,EA,ชิ้น,1,1
10046862,อปก-สวมสายยางแบบปิดDGT2104 THOR,EA,ชิ้น,1,1
10048037,ลวดหนาม #15 #5 เป็ดเขียว,ROL,ม้วน,1,1
10048040,ลวดหนาม #15 #6 เป็ดแดง,ROL,ม้วน,1,1
10048070,ลอนคู่ใส 1.20 ม. ชนิดหนา V,PL,แผ่น,1,1
10048072,ลอนคู่ใส 1.50ม. ชนิดหนา V,PL,แผ่น,1,1
10048447,สังกะสี ใส 6 ฟุต V,PL,แผ่น,1,1
10048452,สังกะสี ใส 8 ฟุต V,PL,แผ่น,1,1
10050191,"สกรูเกลียวแฉกแบน #4x5/8"" NASH ก.1000",B,กล่อง,1,1
10050377,"ล้อยางแป้น-หมุนรอบ 4"" NASH",EA,ชิ้น,1,1
10050378,"ล้อยางแป้น-ตาย 5"" NASH",EA,ชิ้น,1,1
10051251,ช้อนปลูกต้นไม้ DT0523-94-1 ส้ม,EA,ชิ้น,1,1
10051306,"เกลียวเร่ง 1"" NASH",EA,ชิ้น,1,1
10051310,ลูกถ้วย ลูกแลค,EA,ชิ้น,1,1
10051311,"เกลียวเร่ง 3/4"" NASH",EA,ชิ้น,1,1
10051316,"เกลียวเร่ง 5/8"" NASH",EA,ชิ้น,1,1
10051710,ใบเลื่อยตัดเหล็กดำ 24T NASH,BAI,ใบ,1,1
10051717,ใบเลื่อยตัดเหล็กดำ 18T NASH,BAI,ใบ,1,1
10051719,ใบเลื่อยตัดเหล็กฟ้า 18T NASH,BAI,ใบ,1,1
10051721,ใบเลื่อยตัดเหล็กฟ้า 24T NASH,BAI,ใบ,1,1
10052141,"ลูกล้อนั่งร้าน 6""(มีเบรค) NASH",EA,ชิ้น,1,1
10052142,"ลูกล้อนั่งร้าน 6""(ไม่มีเบรค) NASH",EA,ชิ้น,1,1
10052143,"ลูกล้อนั่งร้าน 8""(ไม่มีเบรค) NASH",EA,ชิ้น,1,1
10052144,"ลูกล้อนั่งร้าน 8""มีเบรค NASH",EA,ชิ้น,1,1
10052374,สายเอ็น #100 NASH,ROL,ม้วน,1,1
10052375,สายเอ็น #50 NASH,ROL,ม้วน,1,1
10052377,สายเอ็น #60 NASH,ROL,ม้วน,1,1
10052379,สายเอ็น #70 NASH,ROL,ม้วน,1,1
10052380,สายเอ็น #80 NASH,ROL,ม้วน,1,1
10052382,สายเอ็น #90 NASH,ROL,ม้วน,1,1
10053064,"สกรูตัวหนอน 3/4"" ชุบขาว NASH",SEN,เส้น,1,1
10053066,"สกรูตัวหนอน 3/8"" ชุบขาว NASH",SEN,เส้น,1,1
10053067,"สกรูตัวหนอน 5/16"" ชุบขาว NASH",SEN,เส้น,1,1
10053069,"สกรูตัวหนอน 5/8"" ชุบขาว NASH",SEN,เส้น,1,1
10053070,"สกรูตัวหนอน 7/8"" ชุบขาว NASH",SEN,เส้น,1,1
10053112,สกรูสรรไท-ปม 12x65 บรอนซ์ NASH แพค100,ZWG,แพค,1,1
10053135,สกรูสรรไท-ปล 10x16 บรอนซ์ NASH ก.200,ZWG,แพค,1,1
10060612,เชือกฟาง คละสี ม้วนใหญ่แน่น 170ก. NASH,ROL,ม้วน,1,1
10066707,รถเข็นพับได้ 150กก. NASH,KAN,คัน,1,1
10067000,บุ้งกี๋หวายพีวีซี ฟ้า NASH,BAI,ใบ,1,1
10067637,หมวกก่อสร้าง ส้ม NASH,BAI,ใบ,1,1
10069950,"เกลียวเร่ง 1/2"" NASH",EA,ชิ้น,1,1
10069973,เชือกไนล่อน 8มิล ขี้ม้า(มัด20ม.)NASH,D00,มัด,1,1
10070066,เชือกฟาง คละสี ม้วน 1/2 กิโลกรัม NASH,ROL,ม้วน,1,1
10073562,บล๊อกแก้ว #8054/DG006จตุรัสแก้ว,EA,ชิ้น,1,1
10073657,บล๊อกแก้ว #8005/DG001/1908/Sแก้วมหาสมุทร,EA,ชิ้น,1,1
10073784,ปตมน.2บาน+มุ้ง 200x200 ALG.P ขาว,ZWF,ชุด,1,1
10073837,บล๊อกแก้ว #8009/1908/HL/แหวนทอง,EA,ชิ้น,1,1
10074103,"ยูเนี่ยน เหล็ก 1""",EA,ชิ้น,1,1
10074105,"ยูเนี่ยน เหล็ก 1 1/2""",EA,ชิ้น,1,1
10074109,"ยูเนี่ยน เหล็ก 2""",EA,ชิ้น,1,1
10074134,ยูโบลท์ชุบซิ้งค์ 1/2 NASH,EA,ชิ้น,1,1
10074136,"ยูโบลท์ชุบซิ้งค์ 3/4"" NASH",EA,ชิ้น,1,1
10074138,"ยูโบลท์ชุบซิ้งค์ 1"" NASH",EA,ชิ้น,1,1
10074140,"ยูโบลท์ชุบซิ้งค์ 1 1/2"" NASH",EA,ชิ้น,1,1
10074142,"ยูโบลท์ชุบซิ้งค์ 2"" NASH",EA,ชิ้น,1,1
10074171,"ยูโบลท์ชุบซิ้งค์ 3"" NASH",EA,ชิ้น,1,1
10074175,"ยูโบลท์ชุบซิ้งค์ 4"" NASH",EA,ชิ้น,1,1
10074177,"ยูโบลท์ชุบซิ้งค์ 6"" NASH",EA,ชิ้น,1,1
10074219,"ยูโบลท์ชุบซิ้งค์ 2 1/2"" NASH",EA,ชิ้น,1,1
10076045,ผ้าแยงเขียว 90ซม.X30Y NASH,ROL,ม้วน,1,1
10076064,"รถเข็นปูน 12"" ล้อแม็กเดี่ยว น้ำเงิน NASH",KAN,คัน,1,1
10076131,"รถเข็นปูน 12"" ล้อแม็กคู่ น้ำเงิน NASH",KAN,คัน,1,1
10076290,"รองเท้าบู๊ซยาว 10.5"" (41) NASH",PAA,คู่,1,1
10076291,"รองเท้าบู๊ซยาว 10""(40) NASH",PAA,คู่,1,1
10076292,"รองเท้าบู๊ซยาว 11.5""(43) NASH",PAA,คู่,1,1
10076293,"รองเท้าบู๊ซยาว 11""(42) NASH",PAA,คู่,1,1
10076294,"รองเท้าบู๊ซยาว 12""(44) NASH",PAA,คู่,1,1
10076296,"รองเท้าบู๊ซสั้น 10""(40)",PAA,คู่,1,1
10076298,"รองเท้าบู๊ซสั้น 11""(42) NASH",PAA,คู่,1,1
10076738,เครื่องดับเพลิง 15ป. (4A5B) PHOENIX,MC,เครื่อง,1,1
10079078,กระจกเงารี MR  KND2002 45X60,EA,ชิ้น,1,1
10087134,"นิเปิ้ล  1/2"" NH",EA,ชิ้น,1,1
10098046,"ข้องอเชื่อมเหล็ก90 4"" #40",EA,ชิ้น,1,1
10098050,"ข้องอเชื่อมเหล็ก90 1"" #40",EA,ชิ้น,1,1
10098680,เครื่องดับเพลิง 15ป.6A20B PHOENIX,MC,เครื่อง,1,1
10100402,ถังพ่นยาด้ามพลาสติก 16ล. KF-16B-1 NASH,BAI,ใบ,1,1
10101085,"ข้องอเชื่อมเหล็ก90 3"" #40",EA,ชิ้น,1,1
10107840,อ่างล้างหน้า MR 526,ZWF,ชุด,1,1
10319136,"กลอนห้องน้ำ 2(1/2)"" สตล #304 กลาง NASH",ZWF,ชุด,1,1
10111098,กระจกเงาโดม MR  KND2005 45X60,BAN,บาน,1,1
10112776,"เกย์ลมเดี่ยว 2.1/2""  7กก. NASH",EA,ชิ้น,1,1
10112778,"เกย์ลมเดี่ยว 2.1/2""  10กก. NASH",EA,ชิ้น,1,1
10112779,"เกย์ลมเดี่ยว 2.1/2""  16กก. NASH",EA,ชิ้น,1,1
10118922,ผ้าทราย #120 NO.0 NASH,P5,แพค(5),1,1
10118927,ผ้าทราย #100 NO.1 NASH,P5,แพค(5),1,1
10118928,ผ้าทราย #60 NO.2 NASH,P5,แพค(5),1,1
10118929,ผ้าทราย #36 NO.3 NASH,P5,แพค(5),1,1
10118930,กระดาษทรายขัดไม้ # 0 NASH,P5,แพค(5),1,1
10118931,กระดาษทรายขัดไม้ # 1 NASH,P5,แพค(5),1,1
10118936,กระดาษทรายขัดไม้ # 2 NASH,P5,แพค(5),1,1
10118938,กระดาษทรายขัดไม้ # 3 NASH,P5,แพค(5),1,1
10118940,กระดาษทรายขัดเหล็ก #80  NASH,P5,แพค(5),1,1
10118944,กระดาษทรายขัดเหล็ก #100  NASH,P5,แพค(5),1,1
10118949,กระดาษทรายขัดเหล็ก #120  NASH,P5,แพค(5),1,1
10118954,กระดาษทรายขัดเหล็ก #150  NASH,P5,แพค(5),1,1
10118958,กระดาษทรายขัดเหล็ก #180  NASH,P5,แพค(5),1,1
10118959,กระดาษทรายขัดเหล็ก #220  NASH,P5,แพค(5),1,1
10118960,กระดาษทรายขัดเหล็ก #240 NASH,P5,แพค(5),1,1
10118961,กระดาษทรายขัดเหล็ก #280 NASH,P5,แพค(5),1,1
10118965,กระดาษทรายขัดเหล็ก #320  NASH,P5,แพค(5),1,1
10118966,กระดาษทรายขัดเหล็ก #360 NASH,P5,แพค(5),1,1
10118967,กระดาษทรายขัดเหล็ก #400  NASH,P5,แพค(5),1,1
10118968,กระดาษทรายขัดเหล็ก #500  NASH,P5,แพค(5),1,1
10118969,กระดาษทรายขัดเหล็ก #600  NASH,P5,แพค(5),1,1
10118971,กระดาษทรายขัดเหล็ก #800  NASH,P5,แพค(5),1,1
10118972,กระดาษทรายขัดเหล็ก #1000  NASH,P5,แพค(5),1,1
10118974,"กระดาษทรายกลม 4"" NASH #24",PL,แผ่น,1,1
10118977,"กระดาษทรายกลม 4"" #36 NASH",PL,แผ่น,1,1
10118978,"กระดาษทรายกลม 4"" #40 NASH",PL,แผ่น,1,1
10118979,"กระดาษทรายกลม 4"" #60 NASH",PL,แผ่น,1,1
10118981,"กระดาษทรายกลม 4"" #80 NASH",PL,แผ่น,1,1
10118984,"กระดาษทรายกลม 4"" NASH #100",PL,แผ่น,1,1
10118985,"กระดาษทรายกลม 4"" #120 NASH",PL,แผ่น,1,1
10118993,"จานทรายหลังแข็ง 4"" A.40 NASH",PL,แผ่น,1,1
10118994,"จานทรายหลังแข็ง 4"" A.60 NASH",PL,แผ่น,1,1
10118995,"จานทรายหลังแข็ง 4"" A.80 NASH",PL,แผ่น,1,1
10118997,"จานทรายหลังแข็ง 4"" A.100 NASH",PL,แผ่น,1,1
10118998,"จานทรายหลังแข็ง 4"" A.120 NASH",PL,แผ่น,1,1
10118999,"จานทรายหลังแข็ง 4"" A.150 NASH",PL,แผ่น,1,1
10119006,"จานทรายหลังแข็ง 4""A.180 NASH",PL,แผ่น,1,1
10119007,"จานทรายหลังแข็ง 4"" A. 240 NASH",PL,แผ่น,1,1
10119008,"จานทรายหลังแข็ง 4"" A. 320 NASH",PL,แผ่น,1,1
10119775,"กิ๊บก้ามปู PVC 3/8""เหลือง POWER MAX(P10)",P10,แพค(10),1,1
10119777,"กิ๊บก้ามปู PVC 1/2"" เหลือง POWER MAX",P10,แพค(10),1,1
10119778,"กิ๊บก้ามปู PVC 3/4"" เหลือง POWER MAX",P10,แพค(10),1,1
10122157,สกรูยึดแปรสำเร็จ 10 *13 NASH ก.500,B,กล่อง,1,1
10122159,สกรูสรรไท-ปล 10x30 บรอนซ์ NASH กล่อง200,B,กล่อง,1,1
10125237,อ่างล้างหน้า MR-103,ZWF,ชุด,1,1
10125570,คิ้วPVC มุมโค้ง 11mmx2m U40/W111 ขาว,SEN,เส้น,1,1
10132499,10*16A MR-W Y24100/25403หทัยกาญไวท์ ก.10,B,กล่อง,1,1
10135891,ปตมน.สวิงเดี่ยว 89x204 FINEXT ขาว,ZWF,ชุด,1,1
10135897,ปตมน.2บาน 179x208 FINEXT ขาว,ZWF,ชุด,1,1
10135903,นตมน.เกล็ดซ้อน 70x45 FN ขาว,ZWF,ชุด,1,1
10137613,"จานทรายหลังอ่อน 4"" A.40 NASH",PL,แผ่น,1,1
10137614,"จานทรายหลังอ่อน 4"" A.60 NASH",PL,แผ่น,1,1
10137615,"จานทรายหลังอ่อน 4"" A.80 NASH",PL,แผ่น,1,1
10137616,"จานทรายหลังอ่อน 4"" A.100 NASH",PL,แผ่น,1,1
10137617,"จานทรายหลังอ่อน 4"" A.120 NASH",PL,แผ่น,1,1
10137620,"จานทรายหลังอ่อน 4"" A.150 NASH",PL,แผ่น,1,1
10137621,"จานทรายหลังอ่อน 4"" A.180 NASH",PL,แผ่น,1,1
10137622,"จานทรายหลังอ่อน 4"" A.240 NASH",PL,แผ่น,1,1
10137623,"จานทรายหลังอ่อน 4"" A.320 NASH",PL,แผ่น,1,1
10141499,เสาเอ็น-ทับหลัง 4มิล * 30ม. หัวเสือ,ROL,ม้วน,1,1
10141690,ปั๊มลมโรตารี่ 3HP 50ลิตร NASH,MC,เครื่อง,1,1
10142319,บันไดไฟเบอร์ 5ขั้น FM22-105IA NASH,EA,ชิ้น,1,1
10142396,บันไดไฟเบอร์ 7ขั้น FM22-107IA NASH,EA,ชิ้น,1,1
10143494,Vสีกันสนิมแดง SA-VED 5กล,BK,ถัง,1,1
10143497,Vสีกันสนิมเทา SA-VED 5กล,BK,ถัง,1,1
10143498,Vสีกันสนิมแดง SA-VED กล,GAL,แกลลอน,1,1
10143499,Vสีกันสนิมเทา SA-VED กล,GAL,แกลลอน,1,1
10143502,Vสีกันสนิมแดง SA-VED 1/4,CAN,กระป๋อง,1,1
10143504,Vสีกันสนิมเทา SA-VED 1/4,CAN,กระป๋อง,1,1
10143506,Vสีรองพื้นปูนใหม่ SA-VED 5กล,BK,ถัง,1,1
10143507,Vสีรองพื้นปูนใหม่ SA-VED กล,GAL,แกลลอน,1,1
10143534,Vสีน้ำมัน SA-VED M111 ขาว กล,GAL,แกลลอน,1,1
10143540,Vสีน้ำมัน SA-VED M999 ดำ กล,GAL,แกลลอน,1,1
10143541,Vสีน้ำมัน SA-VED M259 น้ำตาลเข้ม กล,GAL,แกลลอน,1,1
10143561,Vสีน้ำมัน SA-VED M000 บรอนซ์ กล,GAL,แกลลอน,1,1
10143563,Vสีน้ำมัน SA-VED M912 เทาเข้ม กล,GAL,แกลลอน,1,1
10143582,Vสีน้ำมัน SA-VED M111 ขาว 1/4,CAN,กระป๋อง,1,1
10143583,Vสีน้ำมัน SA-VED M999 ดำ 1/4,CAN,กระป๋อง,1,1
10143584,Vสีน้ำมัน SA-VED M259 น้ำตาลเข้ม 1/4,CAN,กระป๋อง,1,1
10143596,Vสีน้ำมัน SA-VED M000 บรอนซ์ 1/4,CAN,กระป๋อง,1,1
10143601,Vสีน้ำมัน SA-VED M877 ฟ้าเข้ม 1/4,CAN,กระป๋อง,1,1
10143620,Vสีน้ำนอก-ด้าน SA-VED EX8088 ควัน 5กล,BK,ถัง,1,1
